,horizon,mse,rmse,mae,mape,coverage
197,234 days 00:00:00.000000000,10061.74056302701,100.30822779327232,83.80142464395091,0.3401997154025301,0.2831858407079647
198,235 days 00:00:00.000000000,9969.596436642028,99.8478664601404,83.5543317231906,0.33829069020921876,0.28381795195954496
199,236 days 00:00:00.000000000,9879.736116573122,99.39686170384417,83.29771821032745,0.33691015131986596,0.28381795195954485
200,237 days 00:00:00.000000000,10007.989234632278,100.03993819786315,83.84344620229113,0.33982994667158056,0.2831858407079644
201,238 days 00:00:00.000000000,10071.627588237468,100.35749891382042,83.88344699200168,0.3415321073225296,0.2883480825958703
202,239 days 00:00:00.000000000,10118.395969025027,100.5902379409902,84.07212001925731,0.3431746423970852,0.2853982300884956
203,240 days 00:00:00.000000000,10178.248385475024,100.88730537324815,84.71855882020887,0.34485680909200417,0.27433628318584075
204,241 days 00:00:00.000000000,10087.378757323886,100.43594355271367,84.49305612887835,0.3427107238196568,0.2737041719342605
205,242 days 00:00:00.000000000,9990.04772324129,99.95022622906508,84.09051725436287,0.3404455323487608,0.27728613569321525
206,243 days 00:00:00.000000000,9840.873993642446,99.20117939642878,83.43328375929734,0.33735382331941655,0.2895069532237673
207,244 days 00:00:00.000000000,9940.889151953868,99.70400770256865,83.70785592523853,0.3390995155739379,0.29203539823008867
208,245 days 00:00:00.000000000,9988.003161924738,99.93999780830865,83.7203410048776,0.3402939927360167,0.2973451327433629
209,246 days 00:00:00.000000000,9910.195239506222,99.54996353342487,83.30703399540336,0.339328974529689,0.3035398230088495
210,247 days 00:00:00.000000000,9948.962502909879,99.74448607772702,83.79702997188524,0.3404183967402734,0.30151706700379255
211,248 days 00:00:00.000000000,9946.96189121535,99.73445689036136,83.96753857343387,0.3400957816325204,0.3015170670037925
212,249 days 00:00:00.000000000,9747.621105933578,98.73004155743872,83.08656962450266,0.3351433200104593,0.3078381795195954
213,250 days 00:00:00.000000000,9625.09997100802,98.10759384985455,82.55476803462382,0.3320770114812223,0.3126843657817109
214,251 days 00:00:00.000000000,9725.977964365082,98.62037296808951,82.85055365005987,0.33352436762545257,0.3132743362831858
215,252 days 00:00:00.000000000,9797.772294093473,98.98369711267343,83.00634597691865,0.33467922671057043,0.31681415929203544
216,253 days 00:00:00.000000000,9810.468342213879,99.0478083665352,83.13090312177539,0.334820846604913,0.32153392330383485
217,254 days 00:00:00.000000000,9912.416033289615,99.56111707534029,83.84211457451079,0.33681900950461496,0.3200589970501473
218,255 days 00:00:00.000000000,9954.245713861636,99.77096628709995,84.0089857102758,0.336804040609822,0.3236409608091024
219,256 days 00:00:00.000000000,9844.146426081788,99.21767194447665,83.54614815346982,0.33408492391830186,0.3324905183312264
220,257 days 00:00:00.000000000,9899.26121915165,99.49503112794955,83.94512977499991,0.3354129605146038,0.33438685208596713
221,258 days 00:00:00.000000000,10060.787363247593,100.30347632683322,84.5699131747355,0.33832752012034495,0.3348082595870207
